Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
Naive ERM,0.24057456851005554,0.49048401453060175,0.37777426838874817,0.6663456239949901,0.797861697313993,0.6447742200328407,0.9758620689655172,0.0
IPS,0.23950369656085968,0.48939114883787965,0.3767348825931549,0.6579468014926084,0.788868484476005,0.6400369458128079,0.9758620689655172,0.22
SNIPS,0.23924244940280914,0.4891241656295558,0.37634706497192383,0.6459826437852098,0.7846576034239909,0.6470484400656815,0.9758620689655172,0.28
CRM,0.24121111631393433,0.4911324834644256,0.3786140978336334,0.6454185299837923,0.7844626448499621,0.627475369458128,0.9758620689655172,-0.13
DR,0.23745979368686676,0.48729846468757393,0.37588411569595337,0.6588152347993387,0.7930848915346893,0.6388793103448275,0.9758620689655172,0.65
