Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
Naive ERM,0.2535037398338318,0.5034915489199713,0.39207667112350464,0.636060467844888,0.7762016678284538,0.6077791461412151,0.9758620689655172,0.0
IPS,0.24709080159664154,0.49708228855657444,0.38786783814430237,0.6324303927794199,0.7726091531086338,0.63061986863711,0.9758620689655172,1.27
SNIPS,0.2535674571990967,0.5035548204506602,0.39230483770370483,0.6338553036347079,0.778755795881489,0.5965065681444992,0.9758620689655172,-0.01
CRM,0.2516826391220093,0.5016798173357279,0.3904593884944916,0.6405487694354052,0.7800658335983814,0.6384113300492611,0.9758620689655172,0.36
DR,0.25224870443344116,0.5022436703766819,0.3914959132671356,0.6271588540630008,0.7705889862911173,0.6132553366174056,0.9758620689655172,0.25
