Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
Naive ERM,0.09454610198736191,0.3074834987236907,0.2393207997083664,0.8174057660774134,0.8295030266910891,0.8198183693091232,0.8585120091142794,0.0
IPS,0.0949121043086052,0.30807808151279636,0.23812232911586761,0.8176907094585308,0.8298263843681051,0.8195179535389561,0.858316322812275,-0.19
SNIPS,0.0959797129034996,0.3098059278056177,0.23775582015514374,0.8163986883835365,0.8287302032852939,0.819728589129457,0.8583693704706042,-0.76
CRM,0.09691111743450165,0.31130550498586057,0.24005044996738434,0.8170712099258914,0.8291797153412184,0.8199338773097499,0.8583988144182324,-1.24
DR,0.09536485373973846,0.30881200387895946,0.23680949211120605,0.8166348654456013,0.8288298485536195,0.8194631853776234,0.858230194537648,-0.43
