Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
Naive ERM,0.10548216849565506,0.32478018488764837,0.27895140647888184,0.6839584076075474,0.8105060394916701,0.6679926108374383,0.9758620689655172,0.0
IPS,0.10433317720890045,0.3230064662029236,0.2814105153083801,0.6968314557638866,0.8164035714324008,0.6693390804597702,0.9758620689655172,0.55
SNIPS,0.10217969119548798,0.3196555821434814,0.27975451946258545,0.6987750554095283,0.8154092664219216,0.6768760262725779,0.9758620689655172,1.58
CRM,0.10424446314573288,0.3228691114766677,0.28283029794692993,0.6517365454609056,0.7863596065724372,0.633123973727422,0.9758620689655172,0.59
DR,0.10446149855852127,0.3232050410475079,0.2811424136161804,0.7029172175073725,0.8185226966849041,0.6754474548440065,0.9758620689655172,0.48
