Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
Naive ERM,9.162243259197567e-06,0.003026919764248396,0.001107871299609542,0.37960158030480007,0.4096501809864835,0.0,0.0,0.0
IPS,8.816788067633752e-06,0.0029693076748012748,0.0010162033140659332,0.41381934982334634,0.44400522115901914,0.0,0.0,1.9
SNIPS,9.183387192024384e-06,0.0030304103999333793,0.0011099063558503985,0.3812416628444945,0.4104014820456285,0.0,0.0,-0.12
CRM,8.545534910808783e-06,0.002923274689591928,0.0009610405541025102,0.4236060747168783,0.45356490107942915,0.0,0.0,3.42
DR,9.199141459248494e-06,0.0030330086480668816,0.001113220350816846,0.3765045802554477,0.4081388686863139,0.0,0.0,-0.2
