Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
Naive ERM,8.412001079705078e-06,0.0029003449932215094,0.0009215574827976525,0.4402995280399861,0.4708574022339083,0.0,0.0,0.0
IPS,8.375960533157922e-06,0.0028941251757928373,0.0009136089356616139,0.44652777022226,0.4744543263538396,0.0,0.0,0.21
SNIPS,8.4035482359468e-06,0.002898887413465173,0.0008999604033306241,0.44770199477018635,0.4768450074465608,0.0,0.0,0.05
CRM,8.407830137002748e-06,0.0028996258615557194,0.0009291970054619014,0.4421234931809429,0.4683319555947103,0.0,0.0,0.02
DR,8.376598088943865e-06,0.0028942353202433047,0.0009234849130734801,0.44607337648851997,0.47514168723522093,0.0,0.0,0.21
