Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
Naive ERM,0.09494507312774658,0.3081315841126102,0.23972012102603912,0.8214498947619856,0.8331834453981168,0.8203292951103675,0.8584120803520563,0.0
IPS,0.09401886910200119,0.30662496490338353,0.2386760264635086,0.8228243999475238,0.8343905654333065,0.8206649517843247,0.8588371980411783,0.49
SNIPS,0.09433437138795853,0.307139009876568,0.2386542558670044,0.8219950512130862,0.8331972380059771,0.8216952998199218,0.8587862463553647,0.32
CRM,0.09418348968029022,0.30689328712158276,0.2382936030626297,0.82261582992248,0.8342460180586929,0.8203755207038638,0.8587150564389082,0.4
DR,0.09381213784217834,0.3062876717110539,0.2381371706724167,0.8229647923915513,0.8344335131771637,0.8202966793533476,0.8587507009737728,0.6
