Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
Naive ERM,8.71773863764247e-06,0.0029525816902572686,0.0009939318988472223,0.4101106595209569,0.4410730082649759,0.0,0.0,0.0
IPS,8.526063538738526e-06,0.002919942386201914,0.0009478153078816831,0.4282059084047445,0.45729975369568654,0.0,0.0,1.11
SNIPS,8.70323128765449e-06,0.0029501239444563155,0.0009947940707206726,0.42301327701206615,0.45091634080758297,0.0,0.0,0.08
CRM,8.469126441923436e-06,0.002910176359247569,0.0009470325894653797,0.42627992093926265,0.4567352246599771,0.0,0.0,1.44
DR,8.69819905346958e-06,0.0029492709359212116,0.00099249929189682,0.41068375762498716,0.4400338538613459,0.0,0.0,0.11
