Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
Naive ERM,0.09383615106344223,0.3063268696400011,0.23769314587116241,0.8232503103035482,0.834609730165311,0.8214246655039179,0.85882097120755,0.0
IPS,0.09488095343112946,0.30802752057426536,0.2382945418357849,0.8212145421841829,0.832562093037429,0.821281893859891,0.8586658457391584,-0.56
SNIPS,0.09413164854049683,0.306808814313567,0.23593860864639282,0.8227206444733683,0.8338113411316498,0.82164369150071,0.8589256947061487,-0.16
CRM,0.09381058067083359,0.30628512969263394,0.23653292655944824,0.8222756501452636,0.8334799762826062,0.8216339711199967,0.8589216718973092,0.01
DR,0.09423113614320755,0.30697090439194324,0.23888595402240753,0.8224923347602657,0.8341919713465791,0.8205254969630775,0.8589063503777725,-0.21
