Model,MSE,RMSE,MAE,RMSE_Improvement_%
Baseline MF,0.09711039811372757,0.31162541313847875,0.2664300203323364,0.0
IPS,0.09687907993793488,0.31125404405073176,0.26609957218170166,0.12
SNIPS,0.0977419838309288,0.31263714403590753,0.26752251386642456,-0.32
CRM,0.09774413704872131,0.3126405876541325,0.26750579476356506,-0.33
Doubly Robust,0.0976722463965416,0.3125255931864486,0.26729631423950195,-0.29
