Dataset,sample_size,sample_fraction_of_kuairec,relative_ESS_mean,relative_ESS_std
KUAIREC,11600,0.0009257185850614877,0.6508285299796055,0.004165884592394328
KUAIREC,125308,0.009999995211800422,0.20200088876671055,0.0010000917303718353
KUAIREC,311704,0.024875016020517754,0.11393415026187201,0.0005771158841257774
KUAIREC,626540,0.04999997605900211,0.0749770006452696,0.000499457803430312
KUAIREC,1253080,0.09999995211800422,0.05104041788747292,0.0009543570426435358
KUAIREC,3132701,0.24999996009833686,0.030840964298566066,0.00036640630354449884
KUAIREC,6265403,0.5,0.020909247299382417,0.0001815214700662082
KUAIREC,12530806,1.0,0.014033788970753627,2.4910049256419838e-17
