target_dataset,target_relESS,matched_kuairec_sample_size,matched_kuairec_relESS,abs_gap
KUAIREC,0.7849609794911191,11600,0.6508285299796055,0.1341324495115136
YAHOO,0.4316237693353025,11600,0.6508285299796055,0.219204760644303
COAT,0.9008723213920384,11600,0.6508285299796055,0.25004379141243294
