Dataset,sample_size,sample_fraction_of_kuairec,relative_ESS_mean,relative_ESS_std
KUAIREC,11600,0.0009257185850614877,0.6508285299796055,0.004165884592394328
KUAIREC,125308,0.009999995211800422,0.20200088876671046,0.0010000917303718206
KUAIREC,311704,0.024875016020517754,0.11393415026187201,0.0005771158841257605
KUAIREC,626540,0.04999997605900211,0.07497700064526959,0.0004994578034302879
KUAIREC,1253080,0.09999995211800422,0.05104041788747292,0.0009543570426435331
KUAIREC,3132701,0.24999996009833686,0.03084096429856608,0.0003664063035444799
KUAIREC,6265403,0.5,0.020909247299382403,0.0001815214700661947
KUAIREC,12530806,1.0,0.014033788970753632,2.194270917860438e-18
