Model,MSE,RMSE,MAE,RMSE_Improvement_%
Baseline NCF,0.09470956027507782,0.3077491840364127,0.2406293749809265,0.0
IPS,0.0946117490530014,0.30759022912472594,0.23800575733184814,0.05
SNIPS,0.09676173329353333,0.31106548071673484,0.24032336473464966,-1.08
CRM,0.09690365195274353,0.31129351415142514,0.239910289645195,-1.15
Doubly Robust,0.10143530368804932,0.3184890950849798,0.2649484872817993,-3.49
