Model,MSE,RMSE,MAE,RMSE_Improvement_%
Baseline MF,0.09458363056182861,0.30754451801621924,0.2506692409515381,0.0
IPS,0.0945010632276535,0.30741025231383146,0.2503760755062103,0.04
SNIPS,0.09606890380382538,0.3099498407869012,0.2526763081550598,-0.78
CRM,0.09608624130487442,0.3099778077619016,0.25271496176719666,-0.79
Doubly Robust,0.09725360572338104,0.3118551037314943,0.2624894976615906,-1.4
