Model,MSE,RMSE,MAE,RMSE_Improvement_%
ExpoMF,0.09458233416080475,0.30754241034498764,0.25067076086997986,0.0
IPS,0.09450852870941162,0.3074223946127081,0.25038236379623413,0.04
SNIPS,0.0960712656378746,0.30995365078971826,0.25267016887664795,-0.78
CRM,0.09609200060367584,0.30998709747935616,0.25272321701049805,-0.79
Doubly Robust,0.09724757820367813,0.31184543960699207,0.2624705731868744,-1.4
