Dataset,Architecture,relative_ESS
YAHOO,MF,0.4316237693353025
YAHOO,NCF,0.4316237693353025
YAHOO,LightGCN,0.4316237693353025
COAT,MF,0.9008723213920385
COAT,NCF,0.9008723213920385
COAT,LightGCN,0.9008723213920385
KUAIREC,MF,0.7849609794911191
KUAIREC,NCF,0.7849609794911191
KUAIREC,LightGCN,0.7849609794911191
