Dataset,Architecture,Model,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,Split
KUAIREC,LightGCN,Naive ERM,0.0029525816902572,0.0009939318988472,0.4101106595209569,0.4410730082649759,0.0,0.0,biased
YAHOO,LightGCN,Naive ERM,0.3063268696400011,0.2376931458711624,0.8232503103035482,0.834609730165311,0.8214246655039179,0.85882097120755,biased
COAT,LightGCN,Naive ERM,0.4904840145306017,0.3777742683887481,0.6663456239949901,0.797861697313993,0.6447742200328407,0.9758620689655172,biased
KUAIREC,MF,Naive ERM,0.0030269197642483,0.0011078712996095,0.3796015803048,0.4096501809864835,0.0,0.0,biased
YAHOO,MF,Naive ERM,0.3081315841126102,0.2397201210260391,0.8214498947619856,0.8331834453981168,0.8203292951103675,0.8584120803520563,biased
COAT,MF,Naive ERM,0.5034915489199713,0.3920766711235046,0.636060467844888,0.7762016678284538,0.6077791461412151,0.9758620689655172,biased
YAHOO,NCF,Naive ERM,0.3074834987236907,0.2393207997083664,0.8174057660774134,0.8295030266910891,0.8198183693091232,0.8585120091142794,biased
COAT,NCF,Naive ERM,0.3247801848876483,0.2789514064788818,0.6839584076075474,0.8105060394916701,0.6679926108374383,0.9758620689655172,biased
KUAIREC,NCF,Naive ERM,0.0029,0.0009,,,,,biased
