Dataset,Architecture,relative_ESS,|Bias_RMSE|
YAHOO,MF,0.4316237693353025,0.05933975806726194
YAHOO,NCF,0.4316237693353025,0.0758351848737257
YAHOO,LightGCN,0.4316237693353025,
COAT,MF,0.9008723213920385,
COAT,NCF,0.9008723213920385,1.9121173702326741
COAT,LightGCN,0.9008723213920385,
KUAIREC,MF,0.7849609794911191,
KUAIREC,NCF,0.7849609794911191,1.9599631741706136
KUAIREC,LightGCN,0.7849609794911191,
