Model,MSE,RMSE,MAE,RMSE_Improvement_%
Baseline NCF,0.07821734249591827,0.27967363568259035,0.22386795282363892,0.0
IPS,0.07815378159284592,0.27955997852490605,0.2278008610010147,0.04
SNIPS,0.10620151460170746,0.3258857385675345,0.28579437732696533,-16.52
CRM,0.10673711448907852,0.326706465331004,0.28600427508354187,-16.82
Doubly Robust,0.10622850805521011,0.3259271514544471,0.2856731414794922,-16.54
