Model,MSE,RMSE,MAE,RMSE_Improvement_%
Baseline NCF,8.371684998564888e-06,0.0028933864239960912,0.0009155032457783818,0.0
IPS,8.350030839210376e-06,0.0028896419915294654,0.0009081877069547772,0.13
SNIPS,8.354748388228472e-06,0.002890458162338364,0.0009057302959263325,0.1
CRM,8.350762982445303e-06,0.002889768672825786,0.0008992936345748603,0.13
Doubly Robust,8.410117516177706e-06,0.0029000202613391696,0.0009686255943961442,-0.23
